  PID TTY          TIME CMD
 2151 ?        00:00:02 nemo-desktop
 2152 ?        00:00:02 nm-applet
 2153 ?        00:00:00 cinnamon-killer
 2154 ?        00:00:12 Telegram
 2155 ?        00:00:01 touchpad-indica
 2180 ?        00:00:00 gvfsd-metadata
 2188 ?        00:00:00 gvfsd-trash
 2200 ?        00:00:04 syndaemon
 2247 ?        00:00:00 watchdog.py
 2286 ?        00:00:00 syndaemon
 2380 ?        00:00:00 blueberry-tray
 2381 ?        00:00:07 cinnamon-screen
 2382 ?        00:00:00 sh
 2383 ?        00:00:00 python2
 2390 ?        00:00:00 rfkill
 2409 ?        00:00:00 gconfd-2
 2486 ?        00:00:00 applet.py
 2739 ?        00:00:00 cupsd
 2740 ?        00:00:00 cups-browsed
 5390 ?        00:00:14 nemo
 7826 ?        00:03:04 chrome
 7833 ?        00:00:00 cat
 7834 ?        00:00:00 cat
 7837 ?        00:00:00 chrome
 7838 ?        00:00:00 nacl_helper
 7841 ?        00:00:00 chrome
 7888 ?        00:01:38 chrome
 7893 ?        00:00:00 chrome
 7944 ?        00:00:00 chrome
 7959 ?        00:00:10 chrome
 7962 ?        00:00:03 chrome
 7967 ?        00:00:09 chrome
 7971 ?        00:00:07 chrome
 7973 ?        00:00:00 chrome
 7978 ?        00:00:00 chrome
 7979 ?        00:00:08 chrome
 7983 ?        00:00:03 chrome
 8075 ?        00:00:13 chrome
 8375 ?        00:00:06 chrome
 9802 ?        00:00:06 kworker/u16:0
 9807 ?        00:00:03 kworker/2:3
10206 ?        00:00:00 kworker/3:2
10223 ?        00:00:00 kworker/1:0
10242 ?        00:00:03 kworker/u16:2
10449 ?        00:00:00 kworker/0:1
10532 ?        00:00:00 blueberry <defunct>
10647 ?        00:00:02 chrome
10841 ?        00:00:00 kworker/3:0
10913 ?        00:00:00 gvfsd-network
10939 ?        00:00:00 gvfsd-dnssd
10993 ?        00:00:05 chrome
11004 ?        00:00:00 kworker/0:2
11011 ?        00:00:00 kworker/1:2
11012 ?        00:00:00 kworker/2:1
11019 ?        00:00:03 chrome
11095 ?        00:00:02 chrome
11266 ?        00:00:07 chrome
11326 ?        00:00:00 kworker/3:1
11328 ?        00:00:00 terminator
11335 ?        00:00:00 gnome-pty-helpe
11336 pts/0    00:00:00 zsh
11420 ?        00:00:00 kworker/1:1
11459 ?        00:00:01 kworker/u16:1
11464 ?        00:00:00 kworker/u16:3
11465 ?        00:00:00 kworker/2:0
11473 ?        00:00:00 kworker/0:0
11474 ?        00:00:00 kworker/1:3
11496 ?        00:00:00 kworker/3:3
11658 pts/0    00:00:00 ps
